Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.11022302462516E-16,4.57966997657877E-16,-0.106987126980554,0,0,0,11.5140245979311,0.448788498990354,4.02414228067302E-19,-1.04949529110216E-18,0.401603547193525,-4.41670292219499E-18,0.0551686715592978,0,0,0,0,0,0,package://Joe/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Joe/meshes/base_link.STL,,base-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_link1,0.020220864825567,0,-0.00451502540151849,0,0,0,0.449009050191168,0.000189093688883389,-3.65460283419472E-19,-2.1272194111636E-07,0.000611349676589368,1.09681201569454E-20,0.000586664398807723,0,0,0,0,0,0,package://Joe/meshes/left_link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Joe/meshes/left_link1.STL,,link1-1,left_joint1,Axis_left_joint1,left_joint1,continuous,0,0.175,0,3.1416,0,1.5708,base_link,0,0,1,,,,,,,,,,,,
left_link2,-0.00188147339103562,4.41529698275156E-07,0.119240059515304,0,0,0,0.383671944787966,0.000165197470366309,-2.26166332210087E-09,8.78294549483939E-20,0.000541985890564374,1.71933076722577E-20,0.000551229826505679,0,0,0,0,0,0,package://Joe/meshes/left_link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Joe/meshes/left_link2.STL,,link2_left-1,left_joint2,Axis_left_join2,left_join2,continuous,0,0,0,1.5708,0,1.5708,left_link1,0,0,1,,,,,,,,,,,,
left_link3,-0.0362305634826249,-5.55111512312578E-17,0,0,0,0,0.0836624067435229,8.11503042608759E-05,7.49197232038841E-20,-4.47908336914474E-21,8.36129101319399E-05,-1.26983741416935E-20,4.48120330266361E-05,0,0,0,0,0,0,package://Joe/meshes/left_link3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Joe/meshes/left_link3.STL,,link3-1,left_joint3,Axis_left_joint3,left_joint3,continuous,0,0,0.122,-1.5708,0,-1.5708,left_link2,0,0,1,,,,,,,,,,,,
left_link4,0.00113226650921217,-5.20306055462605E-07,-0.203904175214239,0,0,0,0.536031842140331,0.000352269389999399,-7.29005193983804E-10,2.63734078570941E-11,0.00054630845212098,6.37861794480233E-10,0.000424675608858154,0,0,0,0,0,0,package://Joe/meshes/left_link4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Joe/meshes/left_link4.STL,,link4_left-1,left_joint4,Axis_left_joint4,left_joint4,continuous,0,0,0,1.5708,0.0024223,1.5708,left_link3,0,0,1,,,,,,,,,,,,
left_link5,-4.03106211854798E-07,0.122853347052059,1.11022302462516E-16,0,0,0,0.271635742603924,0.000232339890693184,6.37861794468831E-10,1.45035651613341E-16,0.000117545767685688,1.16962914683338E-20,0.000228408209804266,0,0,0,0,0,0,package://Joe/meshes/left_link5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Joe/meshes/left_link5.STL,,link5-1,left_joint5,Axis_left_joint5,left_joint5,continuous,0,0,-0.257,-1.5708,0,1.5708,left_link4,0,0,1,,,,,,,,,,,,
left_link6,1.77635683940025E-15,0,0.228662497788161,0,0,0,0.0371773964135461,1.91147894150255E-05,-1.90582413132218E-21,1.47190091517792E-20,9.88466917762178E-06,-4.87913637271428E-22,2.0229934027417E-05,0,0,0,0,0,0,package://Joe/meshes/left_link6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Joe/meshes/left_link6.STL,,link6-1,left_joint6,Axis_left_joint6,left_joint6,continuous,0,0,0,-1.5708,0,0,left_link5,0,0,1,,,,,,,,,,,,
left_link7,-2.48726896190377E-07,0.0478425504244868,-0.000809966042038424,0,0,0,0.440234064848019,0.000890184237942202,-1.45223956213885E-16,6.37861729263452E-10,0.000262602167507302,8.05729138164508E-20,0.000838502061395766,0,0,0,0,0,0,package://Joe/meshes/left_link7.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Joe/meshes/left_link7.STL,,link7_left-1,left_joint7,Axis_left_joint7,left_joint7,continuous,0,0,0.258,1.5708,0,0,left_link6,0,0,1,,,,,,,,,,,,
right_link1,0.0202208648255669,-1.11022302462516E-16,-0.00451502540151674,0,0,0,0.449009050191167,0.000189093688883389,-7.05374778682046E-20,-2.12721941116071E-07,0.000611349676589368,-5.15020979160932E-20,0.000586664398807722,0,0,0,0,0,0,package://Joe/meshes/right_link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Joe/meshes/right_link1.STL,,link1-2,right_joint1,Axis_right_joint1,right_joint1,continuous,0,-0.175,0,3.1416,0,-1.5708,base_link,0,0,1,,,,,,,,,,,,
right_link2,-0.0018814733910355,-4.41529699996002E-07,0.119240059515304,0,0,0,0.383671944787966,0.000165197470366309,2.26166332174754E-09,2.15415426824174E-20,0.000541985890564373,-2.17618664274753E-20,0.000551229826505679,0,0,0,0,0,0,package://Joe/meshes/right_link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Joe/meshes/right_link2.STL,,link2_right-2,right_joint2,Axis_right_joint2,right_joint2,continuous,0,0,0,-1.5708,0,-1.5708,right_link1,0,0,1,,,,,,,,,,,,
